gho_code,gho_display,gho_url,publishstate_code,publishstate_display,publishstate_url,year_code,year_display,year_url,region_code,region_display,region_url,worldbankincomegroup_code,startyear,endyear,worldbankincomegroup_display,worldbankincomegroup_url,country_code,country_display,country_url,display_value,numeric,low,high,stderr,stddev,comments
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,53 [44-66],53.00000,44.00000,66.00000,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,67 [56-84],67.00000,56.00000,84.00000,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,WB_LMI,1990,1990,Lower-middle-income,,PHL,Philippines,,317008,317008.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992,1992,,WPR,Western Pacific,,WB_LMI,1992,1992,Lower-middle-income,,PHL,Philippines,,236172,236172.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993,1993,,WPR,Western Pacific,,WB_LMI,1993,1993,Lower-middle-income,,PHL,Philippines,,178134,178134.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,WPR,Western Pacific,,WB_LMI,1995,1995,Lower-middle-income,,PHL,Philippines,,119186,119186.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,WPR,Western Pacific,,WB_LMI,1996,1996,Lower-middle-income,,PHL,Philippines,,165453,165453.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,WPR,Western Pacific,,WB_LMI,1998,1998,Lower-middle-income,,PHL,Philippines,,162360,162360.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,WPR,Western Pacific,,WB_LMI,1999,1999,Lower-middle-income,,PHL,Philippines,,145807,145807.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,WB_LMI,2001,2001,Lower-middle-income,,PHL,Philippines,,107133,107133.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,WB_LMI,2002,2002,Lower-middle-income,,PHL,Philippines,,118408,118408.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,WB_LMI,2004,2004,Lower-middle-income,,PHL,Philippines,,130530,130530.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,WB_LMI,2005,2005,Lower-middle-income,,PHL,Philippines,,137100,137100.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,WB_LMI,2006,2006,Lower-middle-income,,PHL,Philippines,,147305,147305.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,WB_LMI,2007,2007,Lower-middle-income,,PHL,Philippines,,140588,140588.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,WB_LMI,2008,2008,Lower-middle-income,,PHL,Philippines,,139603,139603.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,WB_LMI,2009,2009,Lower-middle-income,,PHL,Philippines,,146565,146565.00000,,,,,
